absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-03-21 12:00:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 12:05:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 12:42:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-21 12:55:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 13:04:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 13:39:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 14:19:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-21 14:25:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 14:39:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 15:14:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 16:14:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 16:49:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 17:49:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 18:24:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 19:24:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 19:59:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 20:58:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 21:34:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 22:33:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 23:09:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 00:08:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 00:43:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 01:37:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 01:37:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 01:43:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 02:18:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 03:18:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 03:53:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 04:03:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 04:03:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 04:53:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 05:28:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 06:27:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 07:03:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 07:46:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 07:49:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 08:02:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 08:38:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 09:19:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 09:25:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 09:37:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 10:13:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 10:51:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 11:02:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 11:12:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 11:47:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 12:25:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 12:38:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 12:47:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 13:22:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 14:01:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 14:09:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 14:22:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 14:57:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 15:57:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 16:32:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 17:31:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 18:07:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 19:06:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 19:06:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 19:06:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 19:42:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 20:41:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 21:16:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 22:16:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 22:51:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 23:51:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 00:26:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 01:26:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 02:01:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 03:00:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 03:36:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 04:35:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 05:11:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 06:10:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 06:46:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 07:29:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 07:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 07:45:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 08:20:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:02:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 09:08:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:20:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 09:55:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 10:34:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 10:45:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 10:55:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 11:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:07:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 12:20:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:30:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 13:05:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 13:43:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 13:53:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 14:04:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 14:40:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 15:39:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 16:15:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 17:14:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 17:49:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 18:49:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 19:24:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 20:24:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 20:59:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 21:59:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 22:34:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 23:33:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 00:09:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 01:08:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 01:44:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 02:43:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 03:19:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 04:18:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 04:53:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 05:53:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 06:28:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 07:28:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 08:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 08:45:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 08:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 08:50:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 08:50:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 09:03:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 09:38:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 10:17:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 10:27:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 10:37:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 11:13:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 11:50:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 12:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 12:12:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 12:48:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 13:26:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 13:37:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 13:47:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 14:22:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 15:22:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 15:57:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 16:57:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 17:32:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 18:32:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 19:07:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 20:06:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 20:42:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 21:41:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 22:17:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 23:16:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 23:52:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 00:51:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 01:26:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 02:26:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 03:01:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 04:01:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 04:36:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 05:36:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 06:11:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 07:10:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 07:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 08:28:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 08:32:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 08:45:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 09:21:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 10:01:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 10:09:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 10:20:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 10:55:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 11:33:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 11:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 11:55:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 12:30:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 13:08:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 13:20:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 13:30:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 14:05:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 14:46:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 14:49:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 15:05:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 15:40:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 16:39:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 17:15:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 18:14:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 18:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 19:49:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 20:25:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 21:24:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 21:59:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 22:53:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 22:54:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 22:59:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 23:34:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 00:34:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 01:09:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 02:09:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 02:44:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 03:43:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 04:19:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 05:18:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 05:54:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 06:53:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 07:28:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 08:11:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 08:14:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 08:28:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 09:03:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 09:44:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 09:52:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 09:52:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 09:52:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 10:03:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 10:38:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 11:16:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 11:28:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 11:38:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 12:13:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 12:50:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 13:03:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 13:12:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 13:48:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 14:27:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 14:27:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 14:28:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 14:33:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 14:47:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 15:23:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 16:22:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 16:57:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 17:57:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 18:32:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 19:32:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 20:07:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 21:07:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 21:42:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 22:42:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 23:17:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 00:16:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 00:52:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 01:51:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 02:27:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 03:26:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 04:01:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 05:01:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 05:36:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 06:36:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 07:11:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 07:54:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-27 07:57:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 08:11:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 08:46:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 09:27:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-27 09:34:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 09:45:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 10:21:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 10:59:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-27 11:11:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 11:20:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 11:56:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 12:33:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-27 12:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 12:55:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 13:30:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 14:09:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-27 14:17:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 14:30:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 15:05:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 16:05:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 16:40:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 17:40:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 18:15:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 19:14:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 19:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 20:49:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 21:25:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 22:24:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 22:59:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 23:59:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 00:34:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 01:34:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 02:09:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 03:09:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 03:44:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 04:44:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 05:19:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 06:18:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 06:54:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 07:37:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-28 07:39:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 07:53:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 08:29:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 09:10:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-28 09:16:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 09:16:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-28 09:16:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 09:28:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 10:03:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 10:42:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-28 10:53:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-28 11:03:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-28 11:38:40,False,0,PAYLOAD,SCIENCE,SCIENCE
